severity,seed,H,ece_pert,ece_ablat,delta_ece,frac_recovered,auc_pert,auc_ablat,val_n,val_pos
4,123,50,0.4929639398089,0.2796953831090831,-0.21326855669981692,0.4326250654003041,0.7626968820315011,0.6258437801350049,163,102
4,456,10,0.32073313611177584,0.05418947548843044,-0.2665436606233454,0.8310449735709711,0.6673899067823851,0.6239151398264224,163,61
4,456,20,0.3245099383228635,0.02724977831977454,-0.29726016000308897,0.9160279082341601,0.6921969696969696,0.8548484848484847,163,75
4,456,30,0.4046171293948353,0.1235328267071136,-0.28108430268772167,0.6946920490195875,0.6497277676950999,0.6330913490623109,163,87
4,456,50,0.5136060774325559,0.27005983763857433,-0.2435462397939816,0.4741887810429245,0.7654291224686596,0.6391031822565091,163,102
4,789,10,0.32432837656273233,0.05666023086216735,-0.26766814570056496,0.8252998042827498,0.6571038251366119,0.6189328190292511,163,61
4,789,20,0.31431393625274723,0.04460997689530673,-0.2697039593574405,0.8580719091646168,0.6504545454545454,0.8513636363636364,163,75
4,789,30,0.3949274683152635,0.1389869403974464,-0.2559405279178171,0.648069705076843,0.6225045372050817,0.639519056261343,163,87
4,789,50,0.4878974740081907,0.28453201738159956,-0.20336545662659117,0.4168200645842596,0.7737062037929926,0.6325940212150434,163,102
4,101112,10,0.3246995941719112,0.05027692840673331,-0.2744226657651779,0.8451586349069646,0.6691578270652523,0.6383799421407907,163,61
4,101112,20,0.31370706372792606,0.03738691372748506,-0.276320150000441,0.8808222126617136,0.6957575757575758,0.8626515151515152,163,75
4,101112,30,0.4046787759710914,0.12127228036653014,-0.28340649560456127,0.7003245844175596,0.6374016938898972,0.6427707199032064,163,87
4,101112,50,0.4870858493953114,0.27067741452637334,-0.21640843486893807,0.44429218204059195,0.7579556412729026,0.6436837029893925,163,102
